Date,R_Open,R_High,R_Low,R_Close,R_Vol,N_Open,N_High,N_Low,N_Close,N_Vol,C_Open,C_High,C_Low,C_Close,C_Vol,FX_Open,FX_High,FX_Low,FX_Close,FX_Vol,RSI_14,RSI_7,EMA_12,EMA_26,SMA_20,SMA_50,MACD_MACD_12_26_9,MACD_MACDh_12_26_9,MACD_MACDs_12_26_9,BB_BBL_20_2.0_2.0,BB_BBM_20_2.0_2.0,BB_BBU_20_2.0_2.0,BB_BBB_20_2.0_2.0,BB_BBP_20_2.0_2.0,STOCH_STOCHk_14_3_3,STOCH_STOCHd_14_3_3,STOCH_STOCHh_14_3_3,ADX_ADX_14,ADX_ADXR_14_2,ADX_DMP_14,ADX_DMN_14,ATR_14,OBV,ROC_10,Target,R_return_1d,R_return_2d,R_return_3d,R_return_5d,R_return_10d,R_vol_5d,R_vol_20d,R_mom_10d,Nifty_return,Crude_return,FX_return
2018-04-18,417.55,418.85,413.04,414.34,7360987.0,10578.9,10594.2,10509.7,10526.2,205400.0,66.68,68.91,66.56,68.47,221664.0,65.67,65.91,65.57,65.68,0.0,59.52867243979336,66.17288693406549,409.023986962988,406.17613824801583,402.6315000000001,404.8382,2.8478487149721445,2.23403190174907,0.6138168132230747,385.9804431029295,402.6315000000001,419.28255689707066,8.271114851704642,0.8515842889846761,91.02080338278702,92.25210490952236,-1.2313015267353506,17.605047819090604,16.598071022955263,25.66951374860677,13.634276511907744,6.590839843171579,108935496.0,4.813943487389636,416.24,-0.006617118197075111,0.0010146888287589917,-0.0009162808641977049,0.007660692137454683,0.04813943487389638,0.007401388208687431,0.009623063202226183,0.04813943487389638,-0.0021329642515190983,0.02931449188214086,0.003820877273422063
2018-04-19,414.83,417.44,413.02,416.24,9802587.0,10563.65,10572.2,10546.2,10565.3,262600.0,68.75,69.56,67.98,68.29,125993.0,65.71,66.13,65.71,66.01,0.0,61.19327449650356,69.44008592025845,410.134142814836,406.9216094889035,403.79100000000005,404.8244,3.2125333259324407,2.0789732101674927,1.133560115764948,386.7247428640142,403.79100000000005,420.8572571359859,8.45301511721947,0.8647255488067752,90.41138558256368,91.96725444458907,-1.5558688620254202,18.52922655231066,17.566521328796505,24.41056806790789,12.987783749808932,6.43577985437361,118738083.0,3.753925918540306,409.88,0.004585606024038347,-0.0020618556701030855,0.005604947816003181,0.014625585023400944,0.03753925918540313,0.0071402589674907,0.0094090921655558,0.03753925918540313,0.003714540859949267,-0.0026288885643346305,0.005024360535931693
2018-04-20,414.34,416.04,406.92,409.88,7326696.0,10560.35,10582.35,10527.45,10564.05,244600.0,68.26,68.62,67.5,68.38,724906.0,65.86,66.35,65.86,66.11,0.0,53.29174579444118,50.42154790429221,410.0950439202458,407.1407495267625,404.4755000000001,405.0324,2.9542943934832806,1.4565874221746662,1.4977069713086144,387.59573138721805,404.4755000000001,421.3552686127822,8.346497433234926,0.660088094925287,81.13061069537686,87.52093322024251,-6.3903225248656526,17.86641730366946,17.735732561380033,21.96439631011399,18.2450627354584,6.64179557906121,111411387.0,1.853784603150932,413.46,-0.015279646357870491,-0.010764106772215953,-0.01730999760249352,-0.011670524691358097,0.01853784603150932,0.009142079227491396,0.010157196764527103,0.01853784603150932,-0.00011831183212973606,0.001317908917850108,0.0015149219815178139
2018-04-23,410.81,417.15,410.15,413.46,7674482.0,10592.8,10638.35,10514.95,10584.7,194200.0,68.22,69.03,67.14,68.64,740941.0,66.2,66.78,66.14,66.2,0.0,56.68239210128192,57.97945074931113,410.6127294709772,407.6088421544097,405.0905000000001,405.3314,3.0038873165675,1.2049442762071083,1.7989430403603914,387.82742413209456,405.0905000000001,422.3535758679056,8.523071199105143,0.7424104506068927,78.8754770272934,83.47249110174464,-4.597014074451238,17.45173449440588,17.990480523358272,21.44447560630358,16.828434299995752,6.68666732341398,119085869.0,2.182240565454856,428.5,0.008734263686932753,-0.006678839131270542,-0.002123859632186087,-0.0011113258600696785,0.021822405654548627,0.010409515749572442,0.009978214372238291,0.021822405654548627,0.0019547427359773994,0.0038022813688214363,0.001361367417939796
2018-04-24,413.37,431.0,413.02,428.5,19921115.0,10578.1,10636.8,10569.0,10614.35,219200.0,68.95,69.38,67.54,67.7,832296.0,66.52,66.53,66.26,66.54,0.0,67.39179466542586,75.94937644695136,413.364617244673,409.1563353281572,406.7725000000001,406.02,4.20828191651583,1.9274711009243504,2.2808108155914795,387.2933636579651,406.7725000000001,426.2516363420351,9.577410637166974,1.0577120981773978,79.39151791829245,79.7992018803209,-0.4076839620284431,18.912723057495363,18.38957018058241,30.969743896186568,13.944675315577818,7.493333943170126,139006984.0,5.778962699646999,428.7,0.03637594930585797,0.045427930125890414,0.029454161060926465,0.02733157516183171,0.057789626996469945,0.01964192704983152,0.01185515350515631,0.057789626996469945,0.0028012130716978945,-0.013694638694638717,0.005135951661631388
2018-04-25,430.09,433.69,425.63,428.7,14079382.0,10612.4,10612.6,10536.45,10570.55,189200.0,67.75,68.18,67.11,68.05,764049.0,66.4,67.12,66.38,66.41,0.0,67.5068375077755,76.10789058395716,415.7239068993387,410.6040141927381,408.30550000000005,406.6924,5.119892706600581,2.2712655128072807,2.8486271937933,386.981525377894,408.30550000000005,429.6294746221061,10.445107705924142,0.978205877689834,85.2393511769954,81.1687820408604,4.070569136134992,20.52621312382578,18.98897380911583,31.153495775073527,12.8792208878426,7.533810090086545,153086366.0,4.258372042121644,430.84,0.0004667444574095736,0.036859672035989055,0.045915877817897854,0.03465752763430996,0.0425837204212165,0.01878061962877918,0.011845476748312043,0.0425837204212165,-0.004126489139702483,0.005169867060561106,-0.0019537120529006247
2018-04-26,429.8,436.43,425.06,430.84,34096999.0,10586.5,10628.4,10559.65,10617.8,335100.0,68.03,68.78,67.71,68.19,660549.0,66.91,66.94,66.66,66.91,0.0,68.77620354519424,77.92419553174145,418.0494596840558,412.1029761043872,409.974,407.3178,5.946483579668666,2.478285108700293,3.468198470968373,387.057220213357,409.974,432.89077978664295,11.1796259209818,0.9552559346091402,86.89341577700381,83.84142829076389,3.0519874862399234,22.27403929792416,20.59338117770976,30.41975969006283,11.539750831031428,7.807823655080364,187183365.0,5.021450858034313,440.1,0.0049918357825984305,0.005460910151691811,0.042035505248391614,0.03507591773976548,0.05021450858034315,0.01876856507776838,0.011783550655363536,0.05021450858034315,0.00446996608501915,0.002057310800881673,0.007528986598403842
2018-04-27,437.23,446.59,435.33,440.1,25518647.0,10651.65,10719.8,10647.55,10692.3,0.0,68.21,68.36,67.64,68.1,542549.0,66.8,67.04,66.59,66.9,0.0,73.58491577781763,84.04669689658165,421.4418505018934,414.1768297262845,412.483,408.1876,7.265020775608946,3.037457843712458,4.227562931896488,387.8847090024527,412.483,437.0812909975473,11.9269356543408,1.061360136823199,84.44886581347144,85.52721092249021,-1.0783451090187697,24.653670167399547,22.58994164561266,34.99816321961717,9.989839956734691,8.375121965431767,212702012.0,6.119791666666665,425.52,0.02149289759539519,0.026592022393282067,0.027071178529755047,0.07372889626232082,0.06119791666666674,0.014560224199567434,0.011062005691019361,0.06119791666666674,0.0070165194296369915,-0.0013198416190057793,-0.0001494544911073703
2018-04-30,433.78,438.46,424.06,425.52,19406069.0,10705.75,10759.0,10704.6,10739.35,173800.0,68.15,69.34,67.17,68.57,755186.0,66.61,66.61,66.2,66.61,0.0,58.34791072097907,55.68016714850934,422.0692581169867,415.01706456137447,414.037,408.61,7.052193555612234,2.2597044989725967,4.792489056639638,390.3272382084816,414.037,437.7467617915184,11.452967629230413,0.742157641670356,72.60641549510709,81.31623236186077,-8.709816866753684,24.7847522908492,23.52939579438668,30.50466077050976,17.728314753595132,8.922613253615214,193295943.0,2.802473908001538,429.67,-0.03312883435582836,-0.012347971404697788,-0.007417774667599741,0.02916848062690458,0.02802473908001546,0.02610277415500736,0.014023124761602685,0.02802473908001546,0.004400362877958974,0.006901615271659223,-0.004334828101644317
2018-05-02,427.15,432.54,426.29,429.67,13381914.0,10783.85,10784.65,10689.8,10718.05,229700.0,67.49,68.14,66.92,67.93,789367.0,66.45,67.03,66.45,66.79,0.0,60.83388464732493,60.14685423589122,423.23860302206566,416.1024671864578,415.6525,408.955,7.136135835607831,1.874917423174555,5.261218412433276,392.3273503699724,415.6525,438.9776496300276,11.223389552584251,0.800480387528889,63.97968188653076,73.67832106503643,-9.698639178505672,24.906471405481017,24.780070786440284,28.764029098728265,16.716716349680045,8.786712306928417,206677857.0,3.013665787580914,424.77,0.009752773077646326,-0.023699159281981408,-0.0027156252901308076,0.0027304550758460167,0.030136657875809103,0.020476574723837133,0.014063867221805162,0.030136657875809103,-0.001983360259233624,-0.00933352778182861,0.002702296952409755
