Date,R_Open,R_High,R_Low,R_Close,R_Vol,N_Open,N_High,N_Low,N_Close,N_Vol,C_Open,C_High,C_Low,C_Close,C_Vol,FX_Open,FX_High,FX_Low,FX_Close,FX_Vol
2018-01-02,403.3,406.19,400.39,402.48,9499419.0,10477.55,10495.2,10404.65,10442.2,153400.0,60.2,60.74,60.1,60.37,510313.0,63.87,63.87,63.42,63.87,0.0
2018-01-03,408.6,409.04,403.32,404.1,13507800.0,10482.65,10503.6,10429.55,10443.2,167300.0,60.39,61.97,60.28,61.63,673859.0,63.38,63.58,63.38,63.46,0.0
2018-01-04,405.58,407.19,404.49,406.53,9008932.0,10469.4,10513.0,10441.45,10504.8,174900.0,61.96,62.21,61.59,62.01,654363.0,63.42,63.59,63.33,63.42,0.0
2018-01-05,407.19,409.44,406.5,407.83,7441284.0,10534.25,10566.1,10520.1,10558.85,180900.0,61.9,62.04,61.09,61.44,563036.0,63.37,63.42,63.21,63.37,0.0
2018-01-08,409.09,411.25,407.94,410.17,8827020.0,10591.7,10631.2,10588.55,10623.6,169000.0,61.61,61.97,61.34,61.73,616474.0,63.26,63.53,63.23,63.26,0.0
2018-01-09,409.99,416.95,408.16,415.65,14294571.0,10645.1,10659.15,10603.6,10637.0,205000.0,61.92,63.48,61.8,62.96,844720.0,63.45,63.73,63.42,63.45,0.0
2018-01-10,416.55,418.5,413.24,416.27,11727682.0,10652.05,10655.5,10592.7,10632.2,176400.0,63.41,63.67,63.09,63.57,697844.0,63.64,63.84,63.57,63.64,0.0
2018-01-11,416.02,416.4,413.02,414.23,7849171.0,10637.05,10664.6,10612.35,10651.2,153800.0,63.5,64.77,63.43,63.8,876642.0,63.76,63.84,63.63,63.76,0.0
2018-01-12,416.55,420.88,414.45,419.2,15071161.0,10682.55,10690.4,10597.1,10681.25,175200.0,63.57,64.5,63.06,64.3,678727.0,63.67,63.72,63.48,63.67,0.0
2018-01-16,418.63,418.63,406.39,407.7,10825151.0,10761.5,10762.35,10687.85,10700.45,211000.0,64.43,64.89,63.39,63.73,867771.0,63.52,64.13,63.51,63.52,0.0
2018-01-17,409.04,410.37,400.65,408.38,13204016.0,10702.45,10803.0,10666.75,10788.55,252700.0,63.89,64.17,63.31,63.97,444384.0,63.99,64.08,63.77,63.99,0.0
2018-01-18,410.37,410.63,404.23,406.26,9381821.0,10873.4,10887.5,10782.4,10817.0,312000.0,64.07,64.35,63.47,63.95,204504.0,63.83,63.95,63.76,63.83,0.0
2018-01-19,407.72,412.75,407.32,411.38,9973533.0,10829.2,10906.85,10793.9,10894.7,207600.0,63.74,63.77,62.85,63.37,142711.0,63.87,63.88,63.62,63.87,0.0
2018-01-22,418.76,430.38,415.23,429.14,45700733.0,10883.2,10975.1,10881.4,10966.2,231600.0,63.61,64.14,63.17,63.49,625662.0,63.83,63.99,63.72,63.83,0.0
2018-01-23,430.69,437.73,430.69,434.33,22526810.0,10997.4,11092.9,10994.55,11083.7,284600.0,63.88,64.88,63.7,64.47,662456.0,63.88,63.89,63.74,63.88,0.0
